Category,Name,URL,$ Raised,Investors,Founded,HQ,Focus
MLOps/Platform,Obviously.ai,https://www.obviously.ai/,"$4,700,000","Sequoia Capital, Makerpad, B Capital , TMV , Performance Ventures, iSeed, Meta, NVIDIA, Berkeley SkyDeck, Arka Venture Labs, Golden Gate Ventures, BGV, Iterative Ventures, Blume Ventures, Untapped Capital, Tempo Ventures, Sanjay Nath, Ramakant Sharma, Kevin Moore",2018,"San Francisco, CA",No-code AI tool
Text,Typewise,https://www.typewise.app/,"$4,880,000","EuroUS Ventures, Innosuisse, North West Quadrant Ventures, Rebel Fund, StartAngels Network, Swiss ICT Investor Club, TR Invest (Switzerland), Y Combinator, Ziano Ventures",2019,"Binningen, Switzerland",Writing (CS / Sales)
Text,Twain,https://www.usetwain.com/,"$5,000,000","Sequoia Capital, TQ Ventures, Tiny VC, Julius Göllner, System.One, and 9 others",2021,"Berlin, Germany",Email Outbound
Text,Dynamo,https://www.dynamo.fyi/,"$5,000,000","Uri Levine, SeedIL, Homeward Ventures",2018,Israel,Social media content OS
Text,Demandwell,https://www.demandwell.com/,"$5,000,000",High Alpha,2018,"Indianapolis, United States",Content/marketing
Text,Phrasee,https://phrasee.co/,"$5,000,000","AlbionVC, Next Fifteen Communications Group, Galvanise Capital, Capital D",2015,"London, UK",AI Content
Text,Novus Writer,https://novuswriter.ai/,"$5,000,000","Startup Wise Guys, MIT Sandbox",2020,"Cambridge, United States",Written / Visual Content generation
Chatbot/Conversational AI,NLX,https://nlx.ai/,"$5,000,000","Aquila Capital Partners, Flying Fish Partners, JetBlue Ventures, Sage Venture Partners",2018,"New York, NY",Contact Center
Legal,Harvey,https://harvey.ai/,"$5,000,000","Elad Gil, Jeff Dean, OpenAI, Sarah Guo",2022,"Los Angeles, CA",Legal text generation
Image,CSM,https://csm.ai/,"$5,000,000","Intel Capital, Glasswing Ventures, Toyota Ventures, Omidyar Technology Ventures, Blindspot Ventures",2020,"Cambridge, United States",3D Image Generation
Chatbot/Conversational AI,Certainly,https://certainly.io/,"$5,000,000","Seed Capital, Thomas Black Petersen, Esben Gadsbøll, VF Venture",2016,"Copenhagen, Denmark",E-Commerce Customer Support
Image,Neurolabs,https://www.neurolabs.ai/,"$5,000,000","Launchub Ventures, Lunar Ventures, Techstart Ventures, 7percent, Charles Songhurst, Amar Shah, Zehan Wang",2019,"London, UK",Computer vision for CPG
Text,Flowrite,https://www.flowrite.com/,"$5,070,000","David Hegalson, Lifeline Ventures, Seedcamp, Ilkka Paananen, Johannes Schildt, Moonfire, Project A Ventures, Sven Ahrens",2020,Finland,Email generation
Bio,Cradle,https://cradle.bio/,"$5,500,000","Index Ventures, Kindred Capital",2021,"Zurich, Switzerland",Protein Generation
Game,Replica,https://replicastudios.com/,"$5,520,000","Carthona Capital, Flying Fox Ventures, Mawson, Techstars, The Venture Reality Fund",2018,"Brisbane, Australia",AI Voice Actors
Classification,Mem,https://get.mem.ai/,"$5,600,000","Andreessen Horowitz, Awesome People Ventures, Charlie Songhurst, Dreamers VC, Floodgate Fund, Greg Chang, Harry Stebbings, Julia Lipton, Kevin Hartz, Lenny Rachitsky, Material V, Shrug Capital, The Todd & Rahul Angel Fund, Tony Liu, Unusual Ventures",2019,"Los Altos Hills, CA",Self-organizing workspace
Video,Wombo,https://www.wombo.ai/,"$6,000,000","Global Founders Capital, 500 Global, Sofreh Capital, 468 Capital, FJ Labs, and 7 others",2020,"Toronto, Canada",Lip Synced Visualizations
Data,Syntegra,https://www.syntegra.io/,"$6,000,000","Village Global, WVV Capital, Launchpad Capital, Impact Venture Capital, GRIDS Capital, and 6 others",2019,"San Francisco, CA",Healthcare synthetic data
MLOps/Platform,SliceX AI,https://slicex.ai/,"$6,000,000","True Ventures, Calibrate, Tribe Capital, Stonebridge",2021,"Menlo Park, CA",Machine learning platform
Image,Prisma Labs,https://prisma-ai.com/,"$6,000,000","Mail.Ru Group, Elysium Venture Capital, Taver Capital Partners",2016,"San Francisco, CA",Photo to art generation
Game,Masterpiece Studio,https://masterpiecestudio.com/,"$6,000,000","Triptyq Capital, Panache Ventures, Cemtrex, Two Small Fish Ventures, Boost VC",2015,"Toronto, Canada",3D model generation / editing
Video,Reface,https://hey.reface.ai/,"$6,000,000","Andreessen Horowitz, TQ Ventures, Sergey Tokarev, Adventures Lab",2018,"Kyiv, Ukraine",Face swaps
Data,Hazy,https://hazy.com/,"$6,000,000","UCL Technology Fund, M12 - Microsoft's Venture Fund, Notion Capital, Ascension, AlbionVC, and 7 others",2017,"London, UK",Finance synthetic data
Text,Data Skrive,https://dataskrive.com/,"$6,000,000",Bettor Capital,2013,"Seattle, WA",Marketing content creation
Audio,Poised,https://www.poised.com,"$6,900,000","Wing, Slack, Next Play Ventures, Adam Grant, Andre Iguodala, Brianne Kimmel",2020,"San Francisco, CA",AI communication coach
Chatbot/Conversational AI,Tymely,https://www.tymely.ai/,"$7,000,000","Hetz Ventures, DESCOvery, 97212 Ventures",2020,"Tel Aviv, Israel",Contact Center (E-Commerce)
Text,theGist,https://www.thegist.ai/,"$7,000,000","Aleph, Lior Shemesh, Avishai Abrahami, Farhana Rahman, Shaul Olmert, Yoav Vilner, Itzik Ben Bassat",2022,"Tel Aviv, IL",Summarizes Slack messages
Legal,TermScout,https://www.termscout.com/,"$7,000,000","NFX, Bridge Investments, Ground Up Ventures, Sachse Family Fund, The Legal Tech Fund",2018,Colorado,Contract platform
Image,Swapp,https://www.swapp.ai/,"$7,000,000","Point72 Ventures, Entrée Capital, Waveline Ventures, The Junction",2019,"London, UK",Architecture planning
Text,Quattr,https://www.quattr.com/,"$7,000,000",Emergent Ventures,2019,"Palo Alto, CA",Growth Marketing / SEO Content generation
Audio,Lovo,https://www.lovo.ai/,"$7,000,000","Hashed, LG CNS, Kakao Investment, Goodwater Capital, Berkeley SkyDeck Fund, and 10 others",2019,"Berkeley, CA",Voiceovers
Video,Detail,https://detail.co/,"$7,000,000","Point Nine, Connect Ventures, Adjacent, Plural, Hustle Fund, TQ Ventures",2020,"Amsterdam, The Netherlands","Record, remix, and share videos"
MLOps/Platform,BLOOM,https://bigscience.notion.site/BLOOM-BigScience-176B-Model-ad073ca07cdf479398d5f95d88e218c4,"$7,000,000",publicly funded through grants,2022,"Paris, France",Open-source text generation model
Text,Intento,https://inten.to/,"$7,300,000","Flint Capital, Berkeley Skydeck Fund",2016,"San Francisco, CA",Content Translation
Code,Bloop,https://bloop.ai/,"$7,310,000","Y Combinator, Matilde Giglio, Ascension, Khosla Ventures, Sands Capital",2021,"London, UK",Code generation & documentation
Data,Mindtech,https://www.mindtech.global/,"$7,450,000","Deeptech Labs, In-Q-Tel, Mercia Asset Management, Appen",2017,United Kingdom,Synthetic data generation
Text,Personal.ai,https://www.personal.ai,"$7,800,000","Supernode Global, Differential Ventures, BBG Ventures, Beni VC, Village Global, Keshif Ventures, Good Friends",2020,"San Diego, CA",Personalized digital minds
Audio,Voicemod,https://www.voicemod.net/,"$8,000,000","BITKRAFT Ventures, Demium, Wayra, ABACON",2014,"Valencia, Spain",Voice Changing
Video,Peech,https://www.peech-ai.com/,"$8,000,000","Ibex Investors, fresh.fund, Cardumen Capital, Ariel Maislos, Nuseir Yassin",2020,"Tel Aviv, Israel",Content creation
Summarization,One AI,https://www.oneai.com/,"$8,000,000","TechAviv Founder Partners, Ariel Maislos, Tomer Weingarten",2021,"Ramat Gan, Israel",NLP AI / article summaries
Chatbot/Conversational AI,Verloop,https://verloop.io/,"$8,000,000","ADQ, Anand Chandrasekaran, Kris Gopalakrishnan, Mohandas Pai, Growth Story, and 4 others",2016,"Bangalore, India",Automated Virtual Agents
Video,Metaphysic,https://metaphysic.ai/,"$8,000,000","Section 32, 8VC, Winklevoss Capital, Logan Paul",2021,"London, UK",AI generated content tools
Video,GlossAI,https://glossai.co/,"$8,000,000","97212 Ventures, Ginossar Ventures, New Era Capital Partners, Moshe Halpern",2021,"Tel Aviv, Israel",Automatic video highlights
Chatbot/Conversational AI,Vozy,https://www.vozy.co,"$8,200,000","Gohub, Globant, Wayra, Starling Ventures, LatinLeap, Parallel18, Magma Partners",2017,"Medellin, Colombia",Conversational voice intelligence
Bio,Valence,https://www.valencediscovery.com/,"$8,500,000","Air Street Capital, Amplitude Ventures, Fifty Years Fund, Jonathan Milner, Phoenix Venture Partners",2018,"Quebec, Canada",Drug discovery platform
Image,Rosebud.ai,https://www.rosebud.ai/,"$8,950,000","Amplify Partners, Animoca Brands, Ankur Goyal, Balaji Srinivasan, Chris Messina, Essence Venture Capital, Foothill Ventures, Holly Liu, Ilya Sutskever, Jake Klamka, JUMP Investors, Kevin Lin, Khosla Ventures, Kun Gao, L'Oréal USA, Lux Capital, Peter Chen, Samuel Teller, Sfermion, Soma Capital, Timothy Chen, Valor Equity Partners, Y Combinator",2019,"San Francisco, CA",Photo/Video generation
Video,Movio,https://www.movio.la,"$9,000,000","Sequoia Capital China, Baidu Venture, IDG Capital",2022,SF,Text to Video
Text,MarketMuse,https://www.marketmuse.com/,"$9,000,000","Runway Venture Partners, LunaCap Ventures, Creative Destruction Lab (CDL), Informa Ventures, Riverside Company, and 15 others",2015,"Boston, United States",Content creation
Sentiment Analysis,Viable,https://www.askviable.com/,"$9,000,000","Craft Ventures, Javelin Venture Partners, Streamlined Ventures, Bossanova Investimentos, GTMFund, and 6 others",2020,"Oakland, United States",Customer support / text analysis
Audio,Amper,https://www.ampermusic.com/,"$9,000,000","Two Sigma Ventures, Horizons Ventures, Brooklyn Bridge Ventures, TechNexus Venture Collaborative, Advancit Capital, and 8 others",2014,New York,Song generation
Audio,Podcastle,https://podcastle.ai/,"$9,000,000","Sierra Ventures, Point Nine, RTP Global, SmartGateVC, Correlation Ventures, and 2 others",2020,"Yerevan, Armenia","Podcast recording, editing, exporting"
Text,Outplay,https://outplayhq.com/,"$9,300,000","Vispi Daver, Sequoia Capital India, Kunal Shah, Surge, Krish Subramanian, Kunal Shah, Vijay Rayapati, Vinod Muthukrishnan, Vispi Daver, Vijay Rayapati, Vara Kumar Namburu, Kunal Shah, Rajaraman Santhanam, Khadim Batti",2021,SF,Sales / email generation
Audio,Amberscript,https://www.amberscript.com/en/,"$10,000,000","Endeit Capital, VentureBuilders Capital",2017,"Amsterdam, Netherlands",Transcription and subtitles
Audio,Moises,https://moises.ai/,"$10,000,000","Kickstart, Monashees, Norwest Venture Partners, Alumni Ventures, Goodwater Capital, and 5 others",2019,Salt Lake City,"Songwriting, Isolate vocals/instruments"
Chatbot/Conversational AI,UneeQ,https://digitalhumans.com/,"$10,000,000","Alium Capital, ICE Angels, NZ Growth Capital Partners, Richard Socher, Sir Stephen Tindall",2009,New Zealand,Digital human creator platform
Text,Copysmith,https://copysmith.ai/,"$10,000,000","Harmony Venture Labs, Providence Strategic Growth",2020,"Birmingham, AL",Marketing content creation
Code,DhiWise,https://www.dhiwise.com/,"$10,000,000","Accel, Together Funds, India Quotient",2021,"Surat, India",Design to Code conversion
Game,The Simulation,https://fablesimulation.com/,"$10,500,000","Manta Ray, Social Discovery Ventures, Day One Ventures, LionTree LLC, 7percent Ventures, Boston Seed Capital, Dream Machine, GFR Fund, Outpost Capital LLC, Riverside Ventures, AET Fund (Akatsuki Entertainment Technology Fund), Super Ventures",2017,SF,NFT metaverse simulation
Semantic Search,ROSS Intelligence,http://rossintelligence.com,"$10,950,000","Y Combinator, ACE & Company, Comcast Ventures, Hedgewood, Inovia Capital, NextLaw Labs, Kima Ventures, Nicolas Pinto, Real Ventures",2014,"San Francisco, CA",Legal research
Image,Simplified,https://simplified.com/,"$11,000,000","Uncorrelated Ventures, Craft Ventures, LLC, Wing Venture Management, LLC, Khosla Ventures, LLC, 8-Bit Capital, Ankur Nagpal, Manik Gupta, Mads Johnsen, GFR Fund, LP, MyAsiaVC, Form Capital, LLC, Earl Grey Capital, Ajay Yadav, Rahul Vohra, Todd Goldberg",2014,"Austin, United States",Content Creation/Publishing
Chatbot/Conversational AI,Replika,https://replika.ai/,"$11,040,000","Y Combinator, Justin Waldron, Ludlow Ventures, Sherpa Capital, All Turtles, Khosla Ventures, Phil Libin, Richard Socher",2013,"San Francisco, CA",AI personal companion
Video,Kinetix,https://kinetix.tech/,"$11,620,000","Entrepreneur First, Zinemaldia Startup Challenge, Adam Ghobarah, Alexandre Yazdi, Animoca Brands, NAVER Z, Sparkle Ventures, The Sandbox, William O'Farrell, Xavier Niel",2020,"Paris, France",3D content generation from video
Text,Instoried,https://instoried.com/,"$11,630,000","Axilor Accelerator, CoWrks Foundry, Venture Catalysts, The Centre for Innovation and Entrepreneurship, Chinaccelerator, SOSV, 9Unicorns, Atesian, Faad Network, JITO Angels, JPIN VCATS, Lead Angels, Mumbai Angels, Rockstud Capital, Expert Dojo, Global Emerging Markets, Pritt Investment Partners",2017,India,Text generation
Chatbot/Conversational AI,Haptik,https://www.haptik.ai/,"$12,000,000","Kalaari Capital, Times Internet, Vivek Kumar",2013,"Mumbai, India",Automated Virtual Agents
Text,Ginger,https://www.gingersoftware.com/,"$12,000,000","Horizons Ventures, Harbor Pacific Capital, Jerusalem Global Ventures",2007,"Lexington, United States",Writing/Editing
Semantic Search,Twelve Labs,https://twelvelabs.io/,"$12,000,000","Index Ventures, Radical Ventures, Position Ventures, Expa, John S. Kim, and 11 others",2021,"Seattle, WA",Video/Image Search
Audio,Murf,https://murf.ai/,"$12,000,000","Elevation Capital, Matrix Partners India, Sanjeev Barnwal, Vidit Aatrey, Ankit Bhati, and 6 others",2020,Salt Lake City,Text to Speech
Audio,WellSaid,https://wellsaidlabs.com/,"$12,120,000","AI2 Incubator, Fuse (Seattle), Good Friends, Qualcomm Ventures, Voyager Capital",2018,"Seattle, WA",Text to Speech
Video,Rephrase,https://www.rephrase.ai/,"$12,320,000","8VC, AV8 Ventures, Lightspeed India Partners, Lightspeed Venture Partners, Lowe's Innovation Labs, Marsshot Ventures, Red Ventures, Silver Lake, Techstars",2019,San Francisco,Personalized videos
Chatbot/Conversational AI,Lang.ai,https://www.lang.ai/,"$13,000,000","Village Global, 500 Global, Alumni Ventures, Manish Patel, GTMFund, and 9 others",2018,"Madrid, Spain",Contact center / ticket prioritization
Video,Yepic,https://www.yepic.ai/,"$13,170,000","Andreessen Horowitz, Deepbridge Capital, Gaingels,SFC Capital",2019,"London, UK",AI powered dubbing
Text,Copy.ai,https://www.copy.ai/,"$13,920,000","Atelier Ventures, Browder Capital, Coppice Capital, Craft Ventures, DayDreams Ventures, Elad Gil, Matthew Caspari, Quint Capital, Sequoia Capital, Tiger Global Management, Unpopular Ventures, Wing Venture Capital",2020,"Memphis, United States",Content creation
Text,Madgicx,https://madgicx.com/,"$14,530,000",PeakSpan Capital,2018,"Herzliya, Israel",Ad Performance
Text,regie.ai,https://www.regie.ai/,"$14,800,000","Day One Ventures, Foundation Capital, Scale Venture Partners, South Park Commons",2020,"San Francisco, CA",Content/Marketing
Legal,Robin AI,https://www.robinai.co.uk/,"$15,000,000","Plural Platform, Episode 1 Ventures, Forward Partners, Softbank",2019,"London, UK",Contract simplification
Audio,LifeScore,https://www.lifescoremusic.com/,"$16,000,000","Octopus Ventures, Metaplanet Holdings, Warner Music Group, IDEO, 4-Good Ventures",2016,"Salisbury, UK",Song generation
MLOps/Platform,Deepset,https://www.deepset.ai/,"$16,000,000","GV, Lunar Ventures, System.One, Acequia Capital (AceCap), Charlie Songhurst, and 8 others",2018,"Berlin, Germany",NLP
Image,Beautiful.ai,https://www.beautiful.ai/,"$16,000,000","Trinity Ventures, Shasta Ventures, First Round Capital",2015,"San Francisco, CA",Deck Design
MLOps/Platform,Archistar,http://archistar.ai,"$17,540,000","AirTree Ventures, Skip Capital, NAB Ventures, Skyfield Capital",2010,Australia,Land Acquisition
Semantic Search,SeMI Technologies,https://www.semi.technology/,"$18,000,000","ING Groep N.V., New Enterprise Associates, LLC (NEA), Cortical Ventures, Zetta Venture Capital, LLC, ING Capital, LLC",2019,"Amsterdam, Netherlands",AI Infrastructure
Audio,Krisp,https://krisp.ai/,"$18,000,000","Sierra Ventures, Shanda Group, RTP Global, Storm Ventures, TechNexus Venture Collaborative, and 7 others",2017,"Berkeley, United States",Audio quality / sound extraction
Image,Facet,http://facet.ai,"$18,900,000","Basis Set Ventures, Accel, Slow Ventures, South Park Commons, Two Sigma Ventures",2017,"San Francisco, CA",AI-powered image editor
Image,PhotoRoom,https://www.photoroom.com/,"$19,000,000","Adjacent Venture Capital, Balderton Capital, Eric Setton, FJ Labs, Francescu Santoni, François Lagunas, Holger Seim, Jacob Eiting, Jean Patry, John Bonten, Kima Ventures, Liquid 2 Ventures, Nicolas Pinto, Nicolas Steegmann, Uncommon Projects, Y Combinator, Yann LeCun, Zehan Wang",2019,"Paris, France",photo generator / Background removal
Text,Pepper Content,https://www.peppercontent.io/,"$19,000,000","Titan Capital Services Pvt., Ltd., YourStory Media Pvt., Ltd., Sidharth Rao, Sanjay Tripathy, Hemanshu Jain, Manan Maheshwari, Alok Mittal, Amit Ranjan, Ritesh Malik, Saurabh Srivastava, Bessemer Venture Partners, LP (BVP), Tanglin Venture Partners Pte., Ltd. (TVP), Lightspeed Management Co., LLC dba Lightspeed Venture Partners, Gokul Rajaram, Kunal Shah, Ashish Gupta, Dheeraj Pandey, Ankur Nagpal, Abhinav Sinha, Ritesh Agarwal, Balaji Srinivasan, Dilipkumar Khandelwal, Akhil Paul, Miten Sampat, Aakrit Vaish, Gaurav Munjal, Beerud Sheth, Utsav Somani, YourStory, Titan Capital Solutions",2017,"Andheri East, India",Content/marketing generation
Image,Uizard,https://uizard.io/,"$19,000,000","Insight Partners, LDV Capital, byFounders, AV8 Ventures, 7percent Ventures, and 9 others",2018,"Copenhagen, Denmark",Product Design
Semantic Search,Vectara,https://vectara.com/,"$20,000,000","Amplify Partners, BECO Capital, Brighter Capital, Essence Venture Capital, Feld Ventures, Green Sands Equity, GTM Capital, MDSV Capital, NKM Capital, OODA Ventures, Page One Ventures, Spark Labs, Sparq Capital (United States), Transform VC, Vertex Ventures US,",2020,"Cupertino, United States",Video/Image Search
Video,Deepdub,https://deepdub.ai/,"$20,000,000","Insight Partners, Swift Ventures, Matias Ventures, Danny Grander, Booster Ventures, and 6 others",2019,"Tel Aviv-yafo, Israel",Content localization / dubbing
Audio,Endel,https://endel.io/,"$20,530,000","Amazon Alexa Fund, Gaingels, Impulse Ventures, Leaf Ventures, LionTree Partners, Plus Eight Equity Partners, Supermoon Capital, Target Global, Techstars, True Ventures, Waverley Capital",2018,"Berlin, Germany",Personalized soundscapes
Image,TestFit,https://testfit.io/,"$22,000,000","Parkway VC, Prologis Ventures",2016,"Dallas, TX",Real estate design
Audio,Splash,https://www.splashmusic.com/,"$23,000,000","BITKRAFT Ventures, King River Capital, Khosla Ventures, Amazon Alexa Fund, Mawson, Techstars",2017,"Brisbane, Australia",Song generation
MLOps/Platform,Galileo,https://www.rungalileo.io/,"$23,000,000","Battery Ventures, FactoryHQ, FPV Ventures, Walden Catalyst, Anthony Goldbloom, and 6 others",2021,"San Francisco, CA",Model development
MLOps/Platform,Symbl.ai,symbl.ai,"$23,720,000","Techstars, Flying Fish Venture Partners, Alexa Accelerator, Amazon Alexa Fund, CrossCut Ventures, Jump Capital, TechNexus, Third Kind Venture Capital, Tom Williams, Tony Chen, Great Point Ventures, Gutbrain Ventures, PBJ Capital",2018,"Seattle, WA",Conversational AI Platform
Legal,Darrow,https://www.darrow.ai/,"$24,000,000","F2 Venture Capital, NFX, Entrée Capital, Y Combinator",2020,"Tel Aviv, Israel",Legal case generation
Audio,AiMi,https://www.aimi.fm/,"$24,000,000","Founders Fund, Great Mountain Partners, Endanik, Ethos, Randall Mays",2019,"Austin, TX",Music generation
MLOps/Platform,Chooch AI,https://chooch.ai/,"$24,600,000","Vickers Venture Partners, 212.vc, Alumni Ventures, Streamlined Ventures, Waterman Ventures, NGA Accelerator",2015,"San Mateo, CA",Computer vision platform
MLOps/Platform,Iterative.ai,https://iterative.ai/,"$25,000,000","468 Capital, True Ventures, Afore Capital, Ihar Mahaniok",2018,"San Francisco, CA",Model development
MLOps/Platform,Outerbounds,https://outerbounds.com/,"$25,750,000","Greenoaks Capital, Foundation Capital & Amplify Partners",2021,"San Francisco, CA",Model dev
Text,Writer,https://writer.com/,"$26,000,000","Acrew Capital, Alexander MacCaw, Allison Pickens, Ankur Nagpal, Aspect Ventures, Austin Rief, Bonfire Ventures, Broadway Angels, Camille Ricketts, Dubai Silicon Oasis Authority, Gradient Ventures, GTMFund, Insight Partners, Jack Altman, James Beshara, Julia Lipton, Lemonade Capital, Lenny Rachitsky, MBC Ventures, Mubadala Capital-Ventures, Oliver Jay, Packy McCormick, Reform Ventures, Scott Belsky, The Todd & Rahul Angel Fund, Upfront Ventures, ValueStream Ventures, Vivek Sodera",2020,"San Francisco, CA",Writing/Editing
Video,Hour One,https://hourone.ai/,"$26,000,000","Amaranthine, Cerca Partners, Digital Horizon, Eynat Guez, Galaxy Interactive (New York), Gemini Capital, Insight Partners, Intel Ignite, Kindred Ventures, Remagine Ventures",2019,"Tel Aviv, Israel",Text to Video
MLOps/Platform,Synthesis AI,synthesis.ai,"$26,130,000","Plug and Play Accelerator, Bee Partners, Boom Capital, Kubera Venture Capital, Leta Capital, PJC, Swift Ventures, iRobot Ventures, 468 Capital, Sorenson Ventures, Strawberry Creek Ventures",2019,"San Francisco, CA",Synthetic data and image generation
Chatbot/Conversational AI,Ultimate,https://www.ultimate.ai/,"$27,000,000","Maki.vc, HV Capital, European Innovation Council, OMERS Ventures, Felicis Ventures, and 2 others",2017,"Berlin, Germany",Automated Virtual Agents
MLOps/Platform,AI Foundation,https://aifoundation.com/,"$27,000,000","Biz Stone, Endeavor, Founders Fund, The Brandtech Group, Alpha Edison, Mousse Partners",2017,"Las Vegas, NV",AI humans
Audio,Corti,corti.ai,"$27,160,000","Nordic Makers, Sunstone Capital, byFounders, Horizon 2020, Headstart Accelerator, Chr. Augustinus Fabrikker, IDInvest Partners, Vækstfonden",2016,Denmark,Healthcare Speech to text / data organization
Summarization,Abridge,https://www.abridge.com/,"$27,500,000","Pillar, Union Square Ventures, Aneesh Chopra, Bessemer Venture Partners, Esther Dyson, KdT Ventures, UPMC Enterprises, Zen Chu, Whistler Capital Partners, Wittington Ventures, Yoshua Bengio",2018,"Pittsburgh, PA",Healthcare conversation documentation
Semantic Search,Air Inc,https://air.inc/,"$28,220,000","Tiger Global, Lerer Hippeau, WndrCo, Slack Ventures, Red Sea Ventures, and Advancit Capital",2022,SF Bay Area,Marketing / search
MLOps/Platform,Gantry,https://gantry.io/,"$28,300,000","Amplify Partners, Coatue Management, Greg Brockman, GTMFund, Index Ventures, Mantis VC, Pieter Abbeel, South Park Commons",2021,"San Francisco, CA",Model development
Code,Codacy,https://www.codacy.com/,"$29,000,000","EQT Ventures, Join Capital, Bright Pixel, Armilar Venture Partners, Seedcamp, and 5 others",2012,"Lisbon, Portugal",Code Quality
Legal,ZERO,https://zerosystems.com/,"$29,510,000","NFX, Acorn Pacific Ventures, AiSprouts, Formic Ventures, One Way Ventures, Streamlined Ventures, AltaIR Capital, PBJ Capital, Vision Capital Group, 468 Capital, Chaos Ventures, Gutbrain Ventures",2014,"Campbell, CA",Automated admin tasks
MLOps/Platform,Aporia,https://www.aporia.com/,"$30,000,000","Vertex Ventures, Tiger Global Management, TLV Partners, Samsung NEXT, Tal Ventures, and 3 others",2019,"Tel Aviv, Israel",Model monitoring
Semantic Search,Hebbia,hebbia.ai,"$30,000,000","Floodgate, Index Ventures, Jerry Yang, Radical Ventures, Raquel Urtasun",2020,United States,Personal AI Analyst
Code,Tabnine,https://www.tabnine.com/,"$30,050,000","Arie Yahav, Bob Pasker, Fred Bosch, Hetz Ventures, Khosla Ventures, LIP Ventures Boutique, OurCrowd, Qualcomm Ventures, Samsung NEXT Ventures, Technion Israel Institute of Technology, TPY Capital",2013,"Tel Aviv, Israel",Code Completion
Bio,Aqemia,aqemia.com,"$30,430,000","Elaia Partners, Large Venture, Sanofi, French Healthcare NEXT Program, Ecole Normale Superieure, PariSante Campus",2019,France,molecule generation
Data,MostlyAI,https://mostly.ai/,"$31,000,000","Molten Ventures, Earlybird Venture Capital, 42CAP, Citi Ventures, PUSH Ventures",2017,"Vienna, Austria",Synthetic Data generation
Text,Anyword,https://anyword.com/,"$32,350,000","Amir Orad, Benjamin Narasin, Dror Berman, Gandyr Investments, Geoff Isenman, Howard Lerman, Innovation Endeavors, Lead Capital Partners, Marker, Michael Ronen, Nir Eyal, Omri Kaplan, Oren Abekasis, Sherpalo Ventures, The New York Times, Tomer Cohen, UpWest, Yossi Matias",2013,"New York, NY",Marketing / Copywriting
Chatbot/Conversational AI,EliseAI,https://www.eliseai.com/,"$32,440,000","Ground Up Ventures Fund, LP, Navitas Capital, The Durst Organization, Inc., Stonehenge Management, LLC dba Stonehenge NYC, AvalonBay Communities, Inc., Equity Residential (EQR), Golden Seeds, LLC, Golden Seeds Venture Fund, LP (GSVF)",2017,"New York, NY",Automated Virtual Agents
Audio,Papercup,https://www.papercup.com/,"$33,000,000","Sands Capital Ventures, Octopus Ventures, LocalGlobe, BDMI, Sky UK, and 5 others",2017,"London, UK",Video dubbing / localization
MLOps/Platform,Contents,https://www.contents.com/,"$33,860,000","Synergo Capital, B-holding, Invictus Capital, Gellify, Azimut Digitech Fund",2020,"Milan, Italy",Content creation platform
MLOps/Platform,Matroid,https://www.matroid.com/,"$34,000,000","New Enterprise Associates, Intel Capital, Energize Ventures",2016,"Palo Alto, CA",Computer vision
Video,VEED,https://www.veed.io/,"$35,000,000",Sequoia Capital,2018,"Benfleet, United Kingdom",Video creation/editing
Chatbot/Conversational AI,iGenius,https://www.igenius.ai/,"$35,000,000","Nova Capital, Blacksheep Ventures, EUREKA! Venture",2016,"Milan, Italy",Data analysis / science automation
Text,Maker AI,https://maker.ai/,"$36,400,000","Khosla Ventures, Y Combinator, FJ Labs, Spacecadet Vetures",2018,"Toronto, Ontario",Free AI on-demand content writing
MLOps/Platform,MosaicML,https://www.mosaicml.com/,"$37,000,000","AME Cloud Ventures, LLC, Playground Global, LLC, DCVC Management Co., LLC dba Data Collective, Lux Capital Management, LLC, Future Ventures, LP, Correlation Ventures, LLC, E14 Fund Management, Inc.",2020,"San Francisco, CA",Model development
Audio,Speak,https://www.speak.com/,"$38,000,000","OpenAI Startup Fund, Lachy Groom, Josh Buckley, Justin Mateen, Gokul Rajaram and Founders Fund.",2016,"San Francisco, CA",Learn to speak English
Semantic Search,Pinecone,https://www.pinecone.io/,"$38,000,000","Menlo Ventures, Wing Venture Capital, Tiger Global Management",2019,"San Mateo, United States",Vector database
Text,Unbounce,https://unbounce.com/,"$39,000,000","Espresso Capital, Real Ventures, Crest Rock Partners, 500 Global, Atlas Venture, and 6 others",2009,"Vancouver, Canada",AI Writer / Landing Pages
Chatbot/Conversational AI,Mavenoid,https://www.mavenoid.com/en/,"$40,000,000","Mosaic Ventures, Point Nine, Smedvig Capital, Creandum, Jeremy Yap, and 7 others",2017,"Stockholm, Sweden",Contact Center (Hardware)
Chatbot/Conversational AI,Ushur,https://ushur.com/,"$42,000,000","8VC, Third Point Ventures, Iron Pillar, Plug and Play, Aflac Global Ventures",2014,"Santa Clara, United States",Automated Virtual Agents
Sentiment Analysis,Textio,https://textio.com/,"$42,000,000","Emergence, Scale Venture Partners, Cowboy Ventures, Industry Ventures, Upside Partnership, and 3 others",2014,"Seattle, WA",Writing (bias / sentiment)
Bio,Atomic AI,https://atomic.ai/,"$42,000,000","8VC, Playground Global, Not Boring, AME Cloud, Greylock, Nat Friedman, Neal Kholsa",2020,"San Francisco, CA",AI-driven RNA drug discovery
